Business Name,UBI#,Business Type,Principal Office Address,Registered Agent Name,Status
"ABSOLUTE CHIROPRACTIC, INC.",602 887 321,WA PROFIT CORPORATION,"312 GARDNER RD, BURLINGTON, WA, 98233, UNITED STATES",LINDA CLEMENS,Active
"ABSOLUTE LIFE CHIROPRACTIC, INC. P.S.",601 850 358,WA PROFESSIONAL SERVICE CORPORATION,,DR TROY M DREILING,Administratively Dissolved
"ABUNDANT LIFE CHIROPRACTIC CENTER, P.S.",603 339 502,WA PROFESSIONAL SERVICE CORPORATION,"1925 N WENATCHEE AVE, STE D, WENATCHEE, WA, 98801, UNITED STATES",JACOB D KRAGT,Active
"ABUNDANT LIFE CHIROPRACTIC, INC., P.S.",602 188 753,WA PROFESSIONAL SERVICE CORPORATION,"1321 KING ST, BELLINGHAM, WA, 98229, UNITED STATES",LAUGHLAN H CLARK,Inactive
ACCELERATED CHIROPRACTIC REHABILITATION PLLC,603 384 637,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"8131 W KLAMATH CT, KENNEWICK, WA, 99336, UNITED STATES",HARPRIT NIJJER,Administratively Dissolved
ACCENT CHIROPRACTIC & WELLNESS PLLC,604 461 842,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"428 NE 4TH AVE, CAMAS, WA, 98607-2128, UNITED STATES",AMY REYNOLDS,Active
"ACCIDENT AND INJURY CHIROPRACTIC CENTER, P.S., INC.",602 010 653,WA PROFESSIONAL SERVICE CORPORATION,"1702 S 72ND ST, TACOMA, WA, 98408-1238, UNITED STATES",JOEL D VRANNA,Active
"ACCIDENT CARE CHIROPRACTIC AND MASSAGE OF HAZEL DELL, PC",604 279 178,WA PROFESSIONAL SERVICE CORPORATION,"1307 NE 78TH ST, VANCOUVER, WA, 98665-9672, UNITED STATES",ACCIDENT CARE CHIROPRACTIC OF HAZEL DELL,Administratively Dissolved
ACCIDENT CARE CHIROPRACTIC AND MASSAGE PC,603 296 206,WA PROFESSIONAL SERVICE CORPORATION,"5904 NE FOURTH PLAIN BLVD, SUITE 102, VANCOUVER, WA, 98661, UNITED STATES",ALEXIS LEE,Active
ACCIDENT CARE CHIROPRACTIC AND MASSAGE VANCOUVER 2.0 LLC,604 276 734,WA LIMITED LIABILITY COMPANY,"1307 NE 78TH ST # B-13, VANCOUVER, WA, 98665-9672, UNITED STATES",ALEXIS LEE,Administratively Dissolved
ACCIDENT CHIROPRACTIC OF PASCO P.C.,604 358 766,WA PROFESSIONAL SERVICE CORPORATION,"1123 W COURT ST, PASCO, WA, 99301-4158, UNITED STATES",ALEXIS LEE,Active
ACCIDENT CHIROPRACTIC PLLC,604 312 467,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1111 W SPRUCE ST STE 28, YAKIMA, WA, 98902-3263, UNITED STATES",GEORGE CLUEN,Active
"ACCIDENT CHIROPRACTIC, LLC",603 569 510,WA LIMITED LIABILITY COMPANY,"3340 NW 14TH AVE, CAMAS, WA, 98607, UNITED STATES",GEORGE CLUEN,Voluntarily Dissolved
"ACE  CHIROPRACTIC, INC",603 478 678,WA PROFIT CORPORATION,"930 S 336TH ST STE E, FEDERAL WAY, WA, 98003-6384, UNITED STATES",SE JUN JI,Active
ACH CHIRO PLLC,603 239 639,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"414 SW 348TH CT, FEDERAL WAY, WA, 98023, UNITED STATES",ANDRE CHAN HWANG,Administratively Dissolved
"ACHIRO, L.L.C.",602 033 051,WA LIMITED LIABILITY COMPANY,,,Inactive
ACTION CHIROPRACTIC CARE LLC,602 887 364,WA LIMITED LIABILITY COMPANY,"4018 W CLEARWATER AVE, KENNEWICK, WA, 99336-2643, UNITED STATES",TRAVIS VAUGHN,Active
"ACTION CHIROPRACTIC, INC., P.S.",601 917 555,WA PROFESSIONAL SERVICE CORPORATION,"1501 POTTERY AVE, PORT ORCHARD, WA, 98366-3712, UNITED STATES",DR BRIAN C WILLYARD DC,Active
ACTION POTENTIAL CHIROPRACTIC INC. P.S.,602 214 741,WA PROFESSIONAL SERVICE CORPORATION,"848 N SUNRISE BLVD, BUILDING A SUITE 102, CAMANO ISLAND, WA, 98282-8770, UNITED STATES",ZACHARY POPE,Active
ACTIVE CHIROPRACTIC CLINIC PS,602 726 044,WA PROFESSIONAL SERVICE CORPORATION,"7910 PACIFIC AVE, TACOMA, WA, 98408, UNITED STATES",CAROL HERSTAD,Administratively Dissolved
"ACTIVE CHIROPRACTIC, INC.",602 168 269,WA PROFIT CORPORATION,"PO BOX 257, OLYMPIA, WA, 98507-0257, UNITED STATES",JOSEPH T AARON DC,Active
"ACTIVE HEALTH CHIROPRACTIC, P.C.",602 093 341,WA PROFESSIONAL SERVICE CORPORATION,"13800 NE 20TH AVENUE, VANCOUVER, WA, 98686, UNITED STATES",HEIDI REED,Active
ACTIVE LIFE CHIROPRACTIC CLINIC LLC,603 227 191,WA LIMITED LIABILITY COMPANY,"609 S 48TH AVE, YAKIMA, WA, 98908-3614, UNITED STATES",KRISTINA COPPOCK,Active
"ACTIVE LIFE CHIROPRACTIC, INC.",602 387 485,WA PROFIT CORPORATION,"1778 WATSON ST N, ENUMCLAW, WA, 98022-3447, UNITED STATES",DR GARY SMITH,Active
ACTIVE LIVING CHIROPRACTIC CLINIC INC.,601 711 344,WA PROFIT CORPORATION,,TROY J MUNSON DC,Inactive
ACTIVE LIVING CHIROPRACTIC CLINIC INC.,603 174 784,WA PROFIT CORPORATION,"218 WASHINGTON AVENUE S, ORTING, WA, 98360, UNITED STATES",TROY  MUNSON,Administratively Dissolved
ACTIVE SEATTLE CHIROPRACTIC & SPORTS THERAPY PLLC,602 833 309,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2366 EASTLAKE AVE E STE 429, SEATTLE, WA, 98102-3392, UNITED STATES",NATASHA NADINE WHITTAKER,Active
"ACTS CHIROPRACTIC CENTER P.S., INC.",602 392 270,WA PROFESSIONAL SERVICE CORPORATION,"12001 PACIFIC AVE S STE 203, TACOMA, WA, 98444, UNITED STATES",JAMES W SALMI,Active
"ACTS CHIROPRACTIC CENTER, P.L.L.C.",601 639 374,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,BLAKE WAGNER,Inactive
"ACUPUNCTURE & CHIROPRACTIC EXCELLENCE, INC, P.S.",602 449 246,WA PROFIT CORPORATION,"11404 NE 124TH ST, KIRKLAND, WA, 98034, UNITED STATES",ESTHER POON,Active
ACUTE CHIROPRACTIC INC.,603 494 404,WA PROFIT CORPORATION,"104 N FIRST ST, ELMA, WA, 98541, UNITED STATES",MATTHEW PETERSON,Active
ACUTE CHIROPRACTIC YAKIMA LLC,604 072 579,WA LIMITED LIABILITY COMPANY,"2405 W WASHINGTON AVE STE 140, YAKIMA, WA, 98903-2518, UNITED STATES",TRAVIS VAUGHN,Active
ADAMS CHIROPRACTIC CLINIC LLC,604 341 489,WA LIMITED LIABILITY COMPANY,"3561 NW ANDERSON HILL RD, SILVERDALE, WA, 98383-9130, UNITED STATES",COLE ADAMS,Active
"ADAMS CHIROPRACTIC, INC., P.S.",602 281 831,WA PROFESSIONAL SERVICE CORPORATION,,KURT ADAMS,Voluntarily Dissolved
"ADAMSON CHIROPRACTIC, INC",603 077 975,WA PROFIT CORPORATION,"4631 WHITMAN LN SE, LACEY, WA, 98513, UNITED STATES",NICOLE ADAMSON,Active
"ADJUST CHIROPRACTIC, P.S., INC.",602 630 880,WA PROFESSIONAL SERVICE CORPORATION,"4002 PORTLAND AVE STE 5, TACOMA, WA, 98404, UNITED STATES",JAMES KELLY JR DC,Inactive
ADJUSTING TO WELLNESS CHIROPRACTIC LLC,603 468 231,WA LIMITED LIABILITY COMPANY,"1476 E SUMACH ST, WALLA WALLA, WA, 99362, UNITED STATES",ADJUSTING TO WELLNESS CHIROPRACTIC LLC,Active
"ADON'AI CHIROPRACTIC & WOMEN'S REHABILITATION, INC., P.C.",602 202 423,WA PROFESSIONAL SERVICE CORPORATION,,SHARON-ROSE D FITCH DC M ED,Administratively Dissolved
"ADVANCED CHIROPRACTIC AND MYOTHERAPY CENTER, P.S.",601 857 526,WA PROFESSIONAL SERVICE CORPORATION,,SCOT A SORUM,Inactive
ADVANCED CHIROPRACTIC CENTRE CORP.,602 283 770,WA PROFIT CORPORATION,"521 SE 155TH AVE STE 106, VANCOUVER, WA, 98684-8924, UNITED STATES",LARRY WASILENKOFF,Active
"ADVANCED CHIROPRACTIC HEALTH AND WELLNESS CENTERS, INC.,P.S.",602 086 959,WA PROFESSIONAL SERVICE CORPORATION,,TROY MUNSON,Inactive
ADVANCED CHIROPRACTIC P.S.,601 523 325,WA PROFIT CORPORATION,"515 W FRANCIS AVE, STE. 1, SPOKANE, WA, 99205-6413, UNITED STATES",PAUL M MILLER,Active
"ADVANCED CHIROPRACTIC REHABILITATION INC., P.S.",602 690 915,WA PROFESSIONAL SERVICE CORPORATION,"422 N 1ST ST, SHELTON, WA, 98584-3410, UNITED STATES",GEORGE BLEVINS,Active
"ADVANCED HEALTH CHIROPRACTIC AND MASSAGE, INC.",603 042 638,WA PROFIT CORPORATION,"10709 N DIVISION, SPOKANE, WA, 99218, UNITED STATES",DAVIDROBINSON,Administratively Dissolved
ADVANCED HEALTH CHIROPRACTIC INC. P.S.,602 286 804,WA PROFESSIONAL SERVICE CORPORATION,"628 3RD ST SE, PUYALLUP, WA, 98372-3208, UNITED STATES",CLINTON WILCOX,Active
"ADVANCED SPINAL FITNESS CHIROPRACTIC, PC",602 911 293,FOREIGN PROFESSIONAL SERVICE CORPORATION,"831 12TH AVE, LONGVIEW, WA, 98632, UNITED STATES",RUTH A TRENNER,Terminated
"ADVANTAGE CHIROPRACTIC & MASSAGE, PS",602 166 903,WA PROFIT CORPORATION,"1312 VANDERCOOK WAY, LONGVIEW, WA, 98632-3902, UNITED STATES",DR ANIK ST-MARTIN,Active
ADVANTAGE CHIROPRACTIC INC. P.S.,601 412 162,WA PROFESSIONAL SERVICE CORPORATION,,ROBERT VANDENBURGH,Inactive
"AFFORDABLE CHIROPRACTIC, PLLC",603 027 492,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1034 14TH AVE, LONGVIEW, WA, 98632-2319, UNITED STATES",RONALD S GERNE,Active
"AFTEN CHIROPRACTIC CENTER, INC.",601 429 167,WA PROFIT CORPORATION,,FREDERICK W AFTEN,Inactive
"AGAPE CHIROPRACTIC HEALING CENTER, P.S.",602 088 983,WA PROFESSIONAL SERVICE CORPORATION,"145 E 3RD ST, NORTH BEND, WA, 98045-8144, UNITED STATES",LESLIE L BEDELL,Active
"AIRPORT CHIROPRACTIC CENTERS, INC., P.S.",601 368 782,WA PROFESSIONAL SERVICE CORPORATION,,TIMOTHY J IGIELSKI,Inactive
AIRPORT CHIROPRACTIC INC PS,602 894 523,WA PROFESSIONAL SERVICE CORPORATION,"19800 INT'L BLVD S STE A, SEATAC, WA, 98188, UNITED STATES",TIMOTHY J IGIELSKI,Inactive
"AKRIDGE CHIROPRACTIC, INC. P.S.",602 509 835,WA PROFESSIONAL SERVICE CORPORATION,"8511 W CLEARWATER AVE STE B, KENNEWICK, WA, 99336, UNITED STATES",AKRIDGE CHIROPRACTIC INC PS,Active
"ALABAMA SPECIFIC CHIROPRACTIC, PLLC",602 200 147,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"2200 PACIFIC ST, BELLINGHAM, WA, 98229-5824, UNITED STATES",CYNTHIA  MARTELL,Administratively Dissolved
"ALDER FAMILY CHIROPRACTIC, P.S.",602 154 377,WA PROFESSIONAL SERVICE CORPORATION,"225 W FRANCIS AVE STE A, SPOKANE, WA, 99205-6304, UNITED STATES",PAUL D ALDER,Active
ALDERWOOD CHIROPRACTIC PLLC,602 025 504,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"11700 MUKILTEO SPEEDWAY STE 201-1075, STE 201-1075, MUKILTEO, WA, 98275-5432, UNITED STATES",OM &R CORPORATION,Active
ALIGN CHIROPRACTIC LLC,604 274 353,WA LIMITED LIABILITY COMPANY,"2510 N PINES RD STE 203, SPOKANE VLY, WA, 99206-7636, UNITED STATES",SARA JOHNSON,Active
"ALINEA CHIROPRACTIC, LLC",604 398 752,WA LIMITED LIABILITY COMPANY,"25412 62ND AVE S APT BB210, APT BB210, KENT, WA, 98032-2245, UNITED STATES",ABIGAIL CALLAHAN,Voluntarily Dissolved
ALIVE CHIROPRACTIC AND WELLNESS CENTER LLC,603 179 117,WA LIMITED LIABILITY COMPANY,"2041 E. MADISON, SEATTLE, WA, 98122, UNITED STATES",DR. ELLIATTA WATERS-BROOKS,Administratively Dissolved
"ALL WAYS CHIROPRACTIC, PLLC",603 160 043,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"3773 MARTIN WAY E., #106, OLYMPIA, WA, 98506, UNITED STATES",MICHAEL EEKHOFF,Active
ALLEN CHIROPRACTIC LLC,603 198 336,WA LIMITED LIABILITY COMPANY,"811 NE 112TH AVE, SUITE 101, VANCOUVER, WA, 98684-5115, UNITED STATES",ROBERT ALLEN,Active
ALLIANCE CHIROPRACTIC AND WELLNESS LLC,602 943 404,WA LIMITED LIABILITY COMPANY,"1004 NE MINNEHAHA ST, VANCOUVER, WA, 98665, UNITED STATES",BRENT  MANLEY,Inactive
"ALLIANCE CHIROPRACTIC CLINIC, P.S.",602 009 555,WA PROFESSIONAL SERVICE CORPORATION,,LUIS M NICACIO,Inactive
"ALLIANCE CHIROPRACTIC, INC.",602 280 801,WA PROFIT CORPORATION,"2946 EASTLAKE AVE E, SEATTLE, WA, 98102-3010, UNITED STATES",VIVIAN M LEDESMA,Active
ALLIANCE WELLNESS CHIROPRACTIC LLC,604 111 263,WA LIMITED LIABILITY COMPANY,"3642 33RD AVE S, SEATTLE, WA, 98144-6911, UNITED STATES",HEALTHQUEST CHIROPRACTIC INC. P.S,Active
"ALLIED CHIROPRACTIC HEALTH SERVICES, PLLC",602 290 746,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"804 CALLAHAN DR, SUITE B, BREMERTON, WA, 98310, UNITED STATES",A. AFLATOONI,Active
"ALPHACARE CHIROPRACTIC CLINIC, P.S.",601 173 522,WA PROFESSIONAL SERVICE CORPORATION,,SHERYL SMALL,Inactive
"ALPINE CHIROPRACTIC CENTER, P.C.",602 131 834,WA PROFIT CORPORATION,,GREG A PFIFFNER,Inactive
"ALPINE CHIROPRACTIC CENTER, P.C.",603 327 274,WA PROFESSIONAL SERVICE CORPORATION,"118 DOWNING AVE N, NORTH BEND, WA, 98045-8301, UNITED STATES",GREG A PFIFFNER,Administratively Dissolved
"ALPINE CHIROPRACTIC CENTER, P.S.",600 331 211,WA PROFESSIONAL SERVICE CORPORATION,,PHILLIP M PADELFORD DC,Inactive
ALPINE CHIROPRACTIC CLINIC PROFESSIONAL SERVICE INC.,603 125 600,WA PROFIT CORPORATION,"4020 WHEATON WAY STE N, BREMERTON, WA, 98310-3566, UNITED STATES",ERICA HAYWOOD,Active
"ALWAYS CHIROPRACTIC AND WELLNESS, PLLC",602 457 543,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"1500 FAIRVIEW AVE E # 205, SEATTLE, WA, 98102, UNITED STATES",KATHERINE ELLISON,Active
"ALWAYS FEEL GREAT CHIROPRACTIC CENTERS, INC.",602 411 592,WA PROFIT CORPORATION,"600 MAIN ST # B, EDMONDS, WA, 98020, UNITED STATES",HMS DEVELOPM ENTERPRISES INC,Inactive
AMAZING LIFE CHIROPRACTIC AND WELLNESS PLLC,603 522 397,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"800 164TH ST SE STE O, MILL CREEK, WA, 98012-6301, UNITED STATES",SERGEY KOCHELAYEV,Active
"AMERICAN CHIROPRACTIC CLINICS, INC.",601 000 508,WA PROFIT CORPORATION,,BURL PETTIBON,Inactive
"AMERICAN PROACTIVE CHIROPRACTIC REHABILITATION CLINIC, LLC",604 226 933,FOREIGN LIMITED LIABILITY COMPANY,"12014 SE MILL PLAIN BLVD STE 120, VANCOUVER, WA, 98684-4044, UNITED STATES",,Terminated
AMERICAN VETERANS DOING CHIROPRACTIC,602 180 463,WA NONPROFIT CORPORATION,,GEORGE SAMARITAN,Inactive
"AMON CHIROPRACTIC, L.L.C.",602 755 907,FOREIGN LIMITED LIABILITY COMPANY,"85458 HWY 11, MILTON FREEWATER, OR, 97862, UNITED STATES",AMY M HATCH,Terminated
AMPLIFE CHIROPRACTIC AND SPORTS LLC,604 282 074,WA LIMITED LIABILITY COMPANY,"811 SE 160TH AVE, VANCOUVER, WA, 98683-9655, UNITED STATES",AMPLIFE CHIROPRACTIC AND SPORTS,Administratively Dissolved
AN INJURY OR ACCIDENT CHIROPRACTIC INC.,603 588 366,WA PROFIT CORPORATION,"4704  17TH ST CT NW, GIG HARBOR, WA, 98335, UNITED STATES",RICHARD RAYMOND,Administratively Dissolved
"ANCHOR CHIROPRACTIC, PLLC",603 596 173,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"25989 BARBER CUT-OFF RD NE, KINGSTON, WA, 98346, UNITED STATES",ISAAC A ANDERSON,Active
ANCHORED CHIROPRACTIC LLC,604 372 638,WA LIMITED LIABILITY COMPANY,"3806 W NOB HILL BLVD STE 104, YAKIMA, WA, 98902-4729, UNITED STATES",CHRISTOPHER A. BOGGESS,Active
"ANDERSON AND ANDERSON CHIROPRACTIC CENTRE, INC., P.S.",601 081 557,WA PROFESSIONAL SERVICE CORPORATION,,DOUGLAS A CROWDER,Inactive
"ANDERSON CHIROPRACTIC CLINIC INC., P.S.",601 047 081,WA PROFESSIONAL SERVICE CORPORATION,,ROBERT DANDERSON,Administratively Dissolved
"ANDERSON CHIROPRACTIC CORPORATION, PS",604 010 715,WA PROFESSIONAL SERVICE CORPORATION,"6720 REGENTS BLVD #108, UNIVERSITY PLACE, WA, 98466, UNITED STATES",CARL PETERSON,Active
"ANGELES CHIROPRACTIC CLINIC, P.S.",602 209 757,WA PROFESSIONAL SERVICE CORPORATION,,LEE A JACOBSON DC,Administratively Dissolved
ANGLESEY FAMILY CHIROPRACTIC LLC,603 092 226,WA LIMITED LIABILITY COMPANY,"500 SOUTH PINES ROAD, SPOKANE VALLEY, WA, 99206, UNITED STATES",CRAIG ANGLESEY,Administratively Dissolved
"ANIMAL CHIROPRACTIC OF THE CASCADES, LLC",604 181 644,WA LIMITED LIABILITY COMPANY,"227 COTTAGE AVE, CASHMERE, WA, 98815-1003, UNITED STATES",MEGAN KELLEY,Active
ANNIE SCHMIDT CHIROPRACTIC PLLC,604 618 748,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"4418 RUCKER AVE, EVERETT, WA, 98203-2397, UNITED STATES",ANNIE SCHMIDT,Active
"ANNONI CHIROPRACTIC, PLLC",602 740 994,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"208 MINNESOTA AVE, RAINIER, WA, 98576, UNITED STATES",MARY AMONI,Administratively Dissolved
"ANOVA CHIROPRACTIC, PC",604 626 631,WA PROFESSIONAL SERVICE CORPORATION,,ANTHONY RYAN CHILTON,Active
APEX CHIROPRACTIC AND REHAB LLC,604 088 536,WA LIMITED LIABILITY COMPANY,"909 SQUALICUM WAY, SUITE 108, BELLINGHAM, WA, 98225-2077, UNITED STATES",ADAM PHANEUF,Active
APEX CHIROPRACTIC LLC,604 311 101,WA LIMITED LIABILITY COMPANY,"24016 BOTHELL EVERETT HWY # B200, BOTHELL, WA, 98021-9361, UNITED STATES",KIRSTEN SPITZ,Active
"APEX CHIROPRACTIC, INC.",602 484 310,WA PROFIT CORPORATION,"3309 PERRY AVENUE NE, BREMERTON, WA, 98310, UNITED STATES",AMY N OLSEN,Inactive
"APT CHIROPRACTIC, P.S., INC.",602 788 549,WA PROFESSIONAL SERVICE CORPORATION,"1042 PINEHURST, TACOMA, WA, 98466, UNITED STATES",AARON P TOLER,Administratively Dissolved
"ARGO CHIROPRACTIC, P.L.L.C.",603 297 319,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"30800 3RD AVE STE B, BLACK DIAMOND, WA, 98010-9767, UNITED STATES",ANGUS JD ARGO,Active
"ARLINGTON FAMILY CHIROPRACTIC, P.L.L.C.",602 378 023,WA LIMITED LIABILITY COMPANY,"20218 77TH AVE NE, SUITE A, ARLINGTON, WA, 98223-4602, UNITED STATES","KR SERVICES, LLC",Active
"ARNADA CHIROPRACTIC CLINIC, P.C.",601 692 066,WA PROFIT CORPORATION,,C DUANE ROBERTS DC,Inactive
"ART AND SCIENCE CHIROPRACTIC CENTER, LLC",602 869 401,WA LIMITED LIABILITY COMPANY,"22 W CENTRAL AVE, SPOKANE, WA, 99205, UNITED STATES","WASHINGTON REGISTERED AGENT, LLC.",Administratively Dissolved
"ASCEND CHIROPRACTIC, LLC",603 497 618,WA LIMITED LIABILITY COMPANY,"1409 CORNWALL AVE, BELLINGHAM, WA, 98225-4519, UNITED STATES",MICHAEL  MOTEL,Active
"ASCEND FAMILY CHIROPRACTIC, PLLC",604 073 315,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"220 1ST ST NE, AUBURN, WA, 98002-5052, UNITED STATES",WILCOX LAW OFFICE,Active
ASCENSION CHIROPRACTIC AND WELLNESS CENTER P.S. INC.,602 955 153,WA PROFESSIONAL SERVICE CORPORATION,"18820 AURORA AVE N, SUITE 102, SHORELINE, WA, 98133-3900, UNITED STATES",MICHELLE LUI,Active
"ASSOCIATED CHIROPRACTORS, INC. P.S.",602 425 742,WA PROFIT CORPORATION,"6040 20TH ST E, FIFE, WA, 98424-2034, UNITED STATES",JEFFREY CLARY,Active
"ASSOCIATED CHIROPRACTORS, P.S.",600 619 889,WA PROFESSIONAL SERVICE CORPORATION,,RONALD E THOMPSON,Inactive
"ATKINS CHIROPRACTIC, INC.",601 882 233,WA PROFIT CORPORATION,"2621 70TH AVE W, SUITE A, UNIVERSITY PLACE, WA, 98466-5459, UNITED STATES",JUDITH A ATKINS,Delinquent
"ATLAS CHIROPRACTIC CLINIC, LLC",602 706 852,WA LIMITED LIABILITY COMPANY,"14608 HWY 99, SUITE 309, LYNNWOOD, WA, 98087, UNITED STATES",JIN-YOUNG KIM,Active
"ATLAS CHIROPRACTIC HEALTH CENTER, INC.",601 707 265,WA PROFIT CORPORATION,,JAMES J MICHAELS DC,Inactive
ATLAS FAMILY CHIROPRACTIC P.C.,602 178 373,WA PROFESSIONAL SERVICE CORPORATION,"2310 MILDRED ST W, SUITE 130, UNIVERSITY PL, WA, 98466-6055, UNITED STATES",DARRYL ROUNDY,Active
AUBURN CHIROPRACTIC CENTER PLLC,602 976 466,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"110 2ND ST SW, SUITE 125, AUBURN, WA, 98001-5203, UNITED STATES",CASEY  WILTON,Active
"AUBURN CHIROPRACTIC CLINIC, P.S.",600 230 721,WA PROFESSIONAL SERVICE CORPORATION,"1428 AUBURN WAY W, AUBURN, WA, 98002, UNITED STATES",VICKI S GILTHVEDT  DC,Active
"AUBURN FAMILY CHIROPRACTIC CLINIC, INC., P.S.",601 456 732,WA PROFIT CORPORATION,,EDMUND KWONG,Administratively Dissolved
"AUMANN CHIROPRACTIC P.S., INC.",602 281 108,WA PROFIT CORPORATION,,GARY W OLDHAM,Inactive
"AUSTIN CHIROPRACTIC INC., P.S.",602 030 173,WA PROFESSIONAL SERVICE CORPORATION,,KEITH AUSTIN,Inactive
"AVALON CHIROPRACTIC, PLLC",602 118 195,WA PROFESSIONAL LIMITED LIABILITY COMPANY,,SCOTT PESEAU,Inactive
"AVANT CHIROPRACTIC, P.C.",602 283 170,WA PROFESSIONAL SERVICE CORPORATION,,JEFFREY A MAY,Inactive
AVISE CHIROPRACTIC PLLC,602 041 266,WA PROFESSIONAL LIMITED LIABILITY COMPANY,"6413 W TAPPS HWY E, BONNEY LAKE, WA, 98391-8821, UNITED STATES",DARREN AVISE,Active
"AXIS CHIROPRACTIC CLINIC, P.S.",603 257 908,WA PROFESSIONAL SERVICE CORPORATION,"3459 S 152ND ST, TUKWILA, WA, 98188-2176, UNITED STATES",VERNON KACZMARSKI,Active
B'S CHIROPRACTIC INC,604 083 744,WA PROFIT CORPORATION,"8901 W TUCANNON AVE, STE 160, KENNEWICK, WA, 99336-7213, UNITED STATES",REBECCA TAYLOR,Active
